Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Prawinsankar, D; Gunasekaran, M; Gopalakrishnan, B; Purusothaman, P; ",Traffic Congession Detection through Modified Resnet50 and Prediction of Traffic using Clustering,"2021 Smart Technologies, Communication and Robotics (STCR)",,,1-5,2021,IEEE
"Purusothaman, P; Gunasekaran, M; ",Adaptive neural network with hybrid optimization oriented localization in wireless sensor network: A multi-objective model,"International Journal of Wavelets, Multiresolution and Information Processing",19,01,2050064,2021,World Scientific
"Haripriya, R; Gopalakrishnan, B; Purusothaman, P; ",Retinopathy Detection on Diabetic Patients through Transfer Learning based Inceptionv3 Algorithm,2022 International Conference on Applied Artificial Intelligence and Computing (ICAAIC),,,299-306,2022,IEEE
"Anitha Kumari, K; Purusothaman, P; Dharani, D; Padmashani, R; ",COVID-19: AI-enabled social distancing detector using CNN,Computational Intelligence Techniques for Combating COVID-19,,,95-115,2021,Springer
"Gopalakrishnan, B; Manikantan, M; Purusothaman, P; Naveena, S; ",Retracted: Prediction of COVID-19 Victims with Chest X-Ray using COVIDNet and Deep Convolutional Neural Network,"2021 International Conference on Advancements in Electrical, Electronics, Communication, Computing and Automation (ICAECA)",,,1-5,2021,IEEE
"Purusothaman, P; Gunasekaran, M; Gopalakrishnan, B; ",Location Identification of Sensor Nodes Using Dynamic Path Planning Mobile Nodes in Wireless Sensor Networks,Journal of Computational and Theoretical Nanoscience,15,5,1562-1567,2018,American Scientific Publishers
"Gopalakrishnan, B; Purusothaman, P; ",A new design of intrusion detection in IoT sector using optimal feature selection and high ranking-based ensemble learning model,Peer-to-Peer Networking and Applications,15,5,2199-2226,2022,Springer
"Purusothaman, P; Sivakumar, S; ",Fuzzy RSSI based localization in wireless sensor networks,International Journal of Engineering Research and Technology,2,8,1323-1328,2013,
"Divya, S; Purusothaman, P; ",Pre Defined Trajectory Algorithm for Mobile Anchor Based Localization in Wireless Sensor Networks,International Journal of Computer Science and Network Security (IJCSNS),15,1,71,2015,International Journal of Computer Science and Network Security
"NATARAJ, N; PURUSHOTHAMAN, P; ARUNA, R; ",QUANTUM-ENHANCED RED DEER OPTIMIZATION FOR OPTIMIZING TASK SCHEDULING AND ENERGY EFFICIENCY IN CLOUD-BASED HEALTHCARE SYSTEMS,"TPM–Testing, Psychometrics, Methodology in Applied Psychology",32,S3 (2025): Posted 07 July,2124-2136,2025,
"Purusothaman, P; Gopalakrishnan, B; ",Enhanced localization model in wireless sensor network using Self adaptive-Barnacles Mating optimization,Cybernetics and Systems,55,5,1156-1183,2024,"TAYLOR & FRANCIS INC 530 WALNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA"
"R Haripriya, B Gopalakrishnan, P Purusothaman; ",Classification and Detection of Blood Subtype Cells Images using Hybrid Convolutional Neural Network,"2023 Third International Conference on Smart Technologies, Communication and Robotics (STCR)",,10.1109/STCR59085.2023.10396933,,2024,
